brain | PerformOS | the AI workforce
crew-web-stitch | stitch | ready to work · replaces a contract UX designer writing design specs and reviewing screens · $110-150/hr contract UX time, or a slice of a $100-140k/yr role. Click for the full dossier.
crew-web-website-architect | website architect | HAS WORKED FOR YOU · replaces a design consultant doing competitor site teardowns · $1,000-3,000 per audit outsourced, or $120-180/hr consultant time. Click for the full dossier.
crew-voice-receptionist | receptionist | ready to work · replaces a part-time receptionist or an after-hours answering service · $30-38/hr casual reception cover, or $200-600/mo for an answering service. Click for the full dossier.
crew-design-documents | documents | WORKED THIS MONTH · replaces a freelance document designer, the person who lays out your proposals, reports and workbooks · $150-400 per formatted document outsourced, or $75-110/hr freelance design time. Click for the f
crew-design-engineering | engineering | ready to work · replaces a senior front-end developer's polish pass, the specialist who makes software feel right · $130-170k/yr specialist role, or $110-150/hr contract review time. Click for the full dossier.
crew-design-quality | quality | ready to work · replaces an external design director's critique before anything ships · $150-250/hr design consultancy time, or $1,000-3,000 per agency design audit. Click for the full dossier.
crew-design-reference | reference | ready to work · replaces a creative director's reference library and the agency retainer that keeps design standards current · $5,000-15,000 for an agency style guide engagement, or a slice of a $140-180k/yr creative dir
crew-design-styles | styles | ready to work · replaces a freelance art director exploring visual directions for a project · $120-180/hr art direction time, or $1,500-4,000 per style exploration from a studio. Click for the full dossier.
crew-animation | animation | ready to work · replaces a freelance motion designer's hours on every website and document build · $85-115k/yr role, or $90-140/hr freelance motion work. Click for the full dossier.
crew-my-second-brain | second brain | ready to work · replaces a part-time knowledge manager, the role small businesses never actually get around to hiring · $95-125k/yr as a full-time role, or $130-180/hr knowledge consultant time. Click for the full dossie
crew-web-immersive-narrative | immersive narrative | ready to work · replaces a creative web agency's immersive site team · $20,000-60,000 per site from an agency. Click for the full dossier.
crew-web-learning-experience | learning experience | ready to work · replaces an e-learning developer or instructional design studio building your online modules · $5,000-20,000 per module outsourced, or a $90-120k/yr in-house role. Click for the full dossier.
crew-web-spotlight-hero | spotlight hero | ready to work · replaces a creative front-end developer building one bespoke interactive homepage hero · $2,000-8,000 per hero freelanced at $100-150/hr rates. Click for the full dossier.
crew-web-webcam-website | webcam website | ready to work · replaces a creative technology studio's experiential web team · $25,000-80,000 per experiential build from a studio. Click for the full dossier.
crew-real-estate-review | estate review | ready to work · replaces a property marketing reviewer, once this skill is actually built out · $100-300 per listing review outsourced, indicative only since the skill is not yet written. Click for the full dossier.
